unique_value,first_letter,group
AAACN Viewpoint **,A,1
AANA Journal **,A,1
AAP Newsfeed,A,1
AAPS Journal,A,1
AAPS Open,A,1
AAPS PharmSciTech,A,1
AARP The Magazine,A,1
AASRI Procedia **,A,1
AASTOCKS (Chinese Simplified),A,1
AASTOCKS (Chinese Traditional),A,1
AASTOCKS (English),A,1
AAStocks Financial News,A,1
ABA - Civil RICO A Definitive Guide,A,1
ABA Administrative Law Review,A,1
ABA Antitrust Law Journal,A,1
ABA Antitrust Magazine,A,1
ABA Communications Lawyer,A,1
"ABA Constitution, Bylaws & Rules of Procedure",A,1
ABA Criminal Justice,A,1
ABA Entertainment and Sports Lawyer,A,1
ABA Family Advocate,A,1
ABA Family Law Quarterly,A,1
ABA Formal Ethics Opinions,A,1
ABA Fundamentals of Municipal Finance,A,1
ABA Human Rights,A,1
ABA Informal Ethics Opinions,A,1
ABA Journal,A,1
ABA Journal eReport,A,1
ABA Model Jury Instructions Business Torts Litigation,A,1
ABA Model Jury Instructions Construction Litigation,A,2
ABA Model Jury Instructions Employment Litigation,A,2
ABA Model Jury Instructions in Civ. Antitrust Cases,A,2
ABA Model Jury Instructions: Product Liability,A,2
ABA Model Jury Instructions: Securities Litigation,A,2
ABA Model Rules of Professional Conduct - Jurisdictional Rules Comparison Charts,A,2
ABA Model Rules of Professional Conduct and Code of Judicial Conduct,A,2
ABA Section of Litigation Newsletters,A,2
ABA State Antitrust Practice and Statutes,A,2
ABC,A,2
"ABC - 33 KSPR (Springfield, Missouri)",A,2
"ABC - 6 WJBF (Augusta, Georgia)",A,2
ABC - Paraguay (Spanish Language),A,2
ABC Live,A,2
ABC Magazine,A,2
ABC News Now,A,2
ABC News Transcripts,A,2
ABC Premium News (Australia),A,2
ABC Regional News (Australia),A,2
ABC Rural News,A,2
ABC Sevilla,A,2
ABC Transcripts (Australia),A,2
ABC.AZ Daily News,A,2
ABCNoticias.mx (Factiva),A,2
ABI/INFORM **,A,2
ABN Newswire,A,2
ABN Newswire (Bahasa Indonesia),A,2
ABN Newswire (French Language),A,2
ABN Newswire (German Language),A,2
ABN Newswire (Spanish Language),A,2
ABN Newswire Chinese (Simplified and Traditional) (Australia),A,2
ABNF Journal,A,2
ACCESSWIRE,A,2
ACCOUNTANCY SA **,A,2
ACE Equity - Indian Company Profiles,A,2
ACH Transactions Compliance and Training Guide,A,2
ACHR NEWS,A,2
ACI Materials Journal **,A,2
ACI Structural Journal **,A,2
ACN Newswire,A,2
ACN Newswire (Bahasa Indonesia),A,2
ACROFAN,A,2
ACT. Advertising/Communications Times **,A,2
ACTEC - American College of Trust and Estate Counsel Journal,A,2
ACUS Publications and Recommendations,A,2
AD-minister,A,2
AD/Algemeen Dagblad,A,2
AD/Algemeen Dagblad.nl,A,2
AD/Amersfoortse Courant,A,2
AD/De Dordtenaar,A,2
AD/Groene Hart,A,2
AD/Haagsche Courant,A,2
AD/Rivierenland,A,2
AD/Rotterdams Dagblad,A,2
AD/Sportwereld Pro,A,2
AD/Utrechts Nieuwsblad,A,2
ADR in Oregon (OSB),A,2
ADWEEK,A,2
AE Agronegócios,A,2
AE Brazil Newswire,A,2
AE Conjuntura e Finanças,A,2
"AE Empresas e Setores (Brazil, Portuguese Language)",A,2
"AE Empresas e Setores Analysis (Brazil, Portuguese Language)",A,2
AEU - International Journal of Electronics and Communications **,A,2
AFR Online,A,2
AFX - NL,A,2
AFX - PMF,A,2
AFX-Swiss,A,2
AGEFI,A,2
AGERPRES (Romania),A,2
AGM Dates and Agendas,A,2
AGM Event Calendar Overview,A,2
AGP Guinée,A,2
AGROProductividad **,A,2
AHGZ- Allgemeine Hotel- und Gastronomie-Zeitung,A,2
AI Magazine **,A,2
AI UPDATE and AI NEWS (formerly Audiotex Update),A,2
AIA Update,A,2
AIDS Alert,A,2
AIDS Daily,A,2
AIDS Policy and Law,A,2
AIPLA Model Patent Jury Instructions,A,2
AIPLA Quarterly Journal,A,2
AJIC: American Journal of Infection Control **,A,2
AJU NEWS,A,2
AJW (Asia & Japan Watch),A,2
AK - AAJ Class Action Law Reporter,A,2
AK - AAJ Law Reporter,A,2
AK - AAJ Motor Vehicle Law Reporter,A,2
AK - AAJ Products Liability Law Reporter,A,2
AK - AAJ Professional Negligence Law Reporter,A,2
AK - AAJ Trial,A,2
AK - AAJ TrialNews,A,2
AK - ALM Verdicts,A,2
AK - Alaska Administrative Code,A,2
AK - Alaska Advance Legislative Service,A,2
AK - Alaska Constitution,A,2
AK - Alaska Insurance Bulletins & Notices,A,2
AK - Alaska State & Federal Court Rules,A,2
AK - Alaska Statutes,A,2
AK - Alaska Statutes - Index,A,3
AK - Dolan Media Verdicts and Settlements,A,3
AK - Expert Witness Verdicts and Settlements,A,3
AK - Federal Jury Verdict Reporter,A,3
AK - LexisNexis Jury Verdicts and Settlements,A,3
AK - What's It Worth? A Guide to Personal Injury Awards and Settlements,A,3
AK Attorney General Opinions,A,3
AK Bill Tracking Reports,A,3
AK Briefs,A,3
AK Court of Appeals Cases from 1980,A,3
AK Department of Revenue Decisions,A,3
AK Full-Text Bills,A,3
AK Jury Verdicts & Settlements,A,3
AK Legislator Profiles,A,3
AK Lower Courts - Trial Orders,A,3
AK Motions,A,3
AK Oil and Gas Conservation Commission Decisions,A,3
AK Other Court Documents PDFs Only,A,3
AK Pleadings,A,3
AK Regulatory Commission Decisions,A,3
"AK Secretary of State Securities Orders, Releases, and Letters",A,3
AK State Net Regulatory Text,A,3
AK State Regulation Tracking,A,3
AK State Trademarks,A,3
AK State Voting Records,A,3
AK Supreme Court Cases from 1959,A,3
AK Workers' Compensation Decisions,A,3
AKI - Adnkronos International,A,3
AKI - Adnkronos International (Italian Language),A,3
AKIpress Central Asian News Service (English language),A,3
AL - AAJ Class Action Law Reporter,A,3
AL - AAJ Law Reporter,A,3
AL - AAJ Motor Vehicle Law Reporter,A,3
AL - AAJ Products Liability Law Reporter,A,3
AL - AAJ Professional Negligence Law Reporter,A,3
AL - AAJ Trial,A,3
AL - AAJ TrialNews,A,3
AL - Alabama Administrative Code,A,3
AL - Alabama Advance Legislative Service,A,3
AL - Alabama Constitution,A,3
AL - Alabama Insurance Bulletins & Notices,A,3
AL - Alabama State & Federal Court Rules,A,3
AL - Code of Alabama,A,3
AL - Code of Alabama - Index,A,3
AL - Dolan Media Verdicts and Settlements,A,3
AL - Federal Jury Verdict Reporter,A,3
AL - LexisNexis Jury Verdicts and Settlements,A,3
AL - What's It Worth? A Guide to Personal Injury Awards and Settlements,A,3
AL Attorney General Opinions,A,3
AL Bill Tracking Reports,A,3
AL Briefs,A,3
AL Circuit Courts - Trial Orders,A,3
AL Civil Trial Reporter,A,3
"AL Court of Appeals Cases, 1911-69",A,3
AL Court of Civil Appeals Cases from 1969,A,3
AL Court of Criminal Appeals Cases from 1969,A,3
AL Department of Revenue Rulings,A,3
AL Environmental Administrative Decisions,A,3
AL Evidence Courtroom Manual,A,3
AL Full-Text Bills,A,3
AL JIC Advisory Opinions,A,3
AL Motions,A,3
AL Other Court Documents PDFs Only,A,3
AL Pleadings,A,3
AL Public Service Commission Decisions,A,3
"AL Secretary of State Securities Orders, Releases, and Letters",A,3
AL State Bar Office of General Counsel Formal Opinions,A,3
AL State Net Regulatory Text,A,3
AL State Regulation Tracking,A,3
AL State Trademarks,A,3
AL State Voting Records,A,3
AL Supreme Court Cases from 1820,A,3
AL-ALM Verdicts,A,3
AL-Expert Witness Verdicts and Settlements,A,3
AL.com **,A,3
ALI CLE Course of Study - 21st Century Litigation: Trial and Pretrial,A,3
ALI CLE Course of Study - Accountants Liability,A,3
ALI CLE Course of Study - Advanced Employment Law and Litigation,A,3
ALI CLE Course of Study - Advanced Estate Planning Techniques,A,3
"ALI CLE Course of Study - Advanced Law of Pensions, Welfare Plans & Deferred Compensation",A,3
ALI CLE Course of Study - Airline and Railroad Labor and Employment Law,A,3
ALI CLE Course of Study - Antitrust Law in the 21st Century,A,3
ALI CLE Course of Study - Banking & Commercial Lending Law,A,3
ALI CLE Course of Study - Basic Estate and Gift Tax,A,3
"ALI CLE Course of Study - Basic Law of Pensions, Welfare Plans & Deferred C",A,3
ALI CLE Course of Study - Chapter 11 Business Reorganizations,A,3
ALI CLE Course of Study - Charitable Giving Techniques,A,3
ALI CLE Course of Study - Civil Practice and Litigation Techniques,A,3
"ALI CLE Course of Study - Commercial Real Estate Defaults, Workouts, and Reorganization",A,3
ALI CLE Course of Study - Commercial Real Estate Leases,A,3
ALI CLE Course of Study - Compensation for Executives and Broad-Based Employee Groups,A,3
ALI CLE Course of Study - Computer Software: Protection and Commercial Exploitation,A,3
ALI CLE Course of Study - Conference on Life Insurance Company Products,A,3
ALI CLE Course of Study - Corporate Governance,A,3
ALI CLE Course of Study - Corporate Mergers and Acquisitions,A,3
ALI CLE Course of Study - Creative Tax Planning for Real Estate Transaction,A,3
ALI CLE Course of Study - Developments in Legal Ethics,A,3
ALI CLE Course of Study - Drafting Documents for Condominiums,A,3
ALI CLE Course of Study - ERISA Fiduciary Responsibility Issues Update,A,3
ALI CLE Course of Study - Effective Legal Negotiations and Settlements,A,3
ALI CLE Course of Study - Eminent Domain,A,4
ALI CLE Course of Study - Employee Benefits,A,4
ALI CLE Course of Study - Employee Benefits Law and Practice Update,A,4
ALI CLE Course of Study - Employment Law,A,4
ALI CLE Course of Study - Entertainment Arts and Sports Law,A,4
"ALI CLE Course of Study - Environmental Insurance: Past, Present, and Future",A,4
ALI CLE Course of Study - Environmental Law,A,4
ALI CLE Course of Study - Environmental Litigation,A,4
ALI CLE Course of Study - Estate Planning for Distributions from Qualified Plans and IRAs,A,4
ALI CLE Course of Study - Estate Planning for the Family Business,A,4
ALI CLE Course of Study - Estate Planning in Depth,A,4
ALI CLE Course of Study - Federal Lands in the West,A,4
ALI CLE Course of Study - Financial Services Modernization 2002: Implementation of the Gramm-Leach Bliley Act,A,4
ALI CLE Course of Study - Hazardous Wastes,A,4
ALI CLE Course of Study - Health Care Law & Litigation,A,4
ALI CLE Course of Study - Historic Preservation Law,A,4
ALI CLE Course of Study - Insurance Coverage in the New Millennium,A,4
ALI CLE Course of Study - International Business Transaction,A,4
ALI CLE Course of Study - International Trust & Estate Planning,A,4
ALI CLE Course of Study - Inverse Condemnation,A,4
ALI CLE Course of Study - Investment Adviser Regulation,A,4
ALI CLE Course of Study - Investment Company Regulation,A,4
ALI CLE Course of Study - Investment Management Regulations,A,4
ALI CLE Course of Study - Land Use Institute,A,4
ALI CLE Course of Study - Legal Problems of Museum Administration Cosponsored by The Smithsonian Institution with the cooperation of the American Associations of Museums,A,4
ALI CLE Course of Study - Life Insurance Company Products,A,4
ALI CLE Course of Study - Life Insurance Litigation,A,4
ALI CLE Course of Study - Limited Liability Entities,A,4
ALI CLE Course of Study - Litigating Medical Malpractice Claims,A,4
ALI CLE Course of Study - Modern Real Estate Transactions,A,4
ALI CLE Course of Study - New Amendments to the Federal Rules of Civil Procedure and the Federal Rules of Evidence,A,4
ALI CLE Course of Study - New Directions in Expert Testimony,A,4
ALI CLE Course of Study - Patent and Trademark Law and Procedure,A,4
"ALI CLE Course of Study - Pension, Profit-Sharing",A,4
ALI CLE Course of Study - Planning Techniques for Large Estates,A,4
ALI CLE Course of Study - Post-Mortem Planning and Estate Administration,A,4
ALI CLE Course of Study - Postgraduate Course in Federal Securities Law,A,4
ALI CLE Course of Study - Product Distribution and Marketing,A,4
ALI CLE Course of Study - Products Liability,A,4
ALI CLE Course of Study - Real Estate Financing,A,4
ALI CLE Course of Study - Regulations D,A,4
ALI CLE Course of Study - Religion in the Workplace,A,4
ALI CLE Course of Study - Representing Estate and Trust Beneficiaries and Fiduciaries,A,4
"ALI CLE Course of Study - Resort Real Estate & Clubs: Formation, Operation & Documentation",A,4
ALI CLE Course of Study - Sophisticated Estate Planning,A,4
ALI CLE Course of Study - Tax Controversy at the IRS and in Court,A,4
ALI CLE Course of Study - Tax Exempt Charitable Organization,A,4
ALI CLE Course of Study - Taxpayer Relief Act,A,4
ALI CLE Course of Study - The Year 2000 (Y2K) Problem,A,4
ALI CLE Course of Study - Toxic Tort & Environmental Matters,A,4
"ALI CLE Course of Study - Trademarks, Copyrights & Unfair Competition for the General Practitioner & the Corporate Counsel",A,4
ALI CLE Course of Study - Trial Evidence,A,4
ALI CLE Course of Study - Uses of Insurance In Estate and Tax Planning,A,4
ALI CLE Course of Study - Wetlands Law,A,4
ALI Restatements of Law - Banking,A,4
ALI-ELI Principles for a Data Economy - Data Rights and Transactions - Drafts,A,4
ALI-ELI Principles for a Data Economy - Data Transactions and Data Rights - Official Text,A,4
ALM Expert Witness Directory,A,4
ALM Pennsylvania Cases,A,4
ALM Personal Injury Reporter,A,4
AL  Legislator Profiles,A,4
AM Newswire,A,4
AM Queretaro (México),A,4
AM(ABC Transcript),A,4
AMA (Art Media Agency),A,4
AMA (Art Media Agency) (French Language),A,4
AMA Guides Newsletter*,A,4
"AMA Guides to the Evaluation of Permanent Impairment, 4th Edition 1993*",A,4
"AMA Guides to the Evaluation of Permanent Impairment, 5th Edition 2001*",A,4
"AMA Guides to the Evaluation of Permanent Impairment, 6th Edition 2008*",A,4
ANA Company Profiles,A,4
ANP (NPO) **,A,4
ANPanamá - Agencia de Noticias de Panamá (Spanish Language),A,4
ANSA Business News,A,4
ANSA English Corporate Service,A,4
ANSA English Media Service,A,4
ANSA Financial News,A,4
ANSA Noticiero en español,A,4
ANSA Noticiário em português,A,4
ANSA Notiziario Generale in Italiano,A,4
ANSAmed - English,A,4
ANSAmed - Italian,A,4
ANTON News,A,4
ANTT - Motoristas Habilitados,A,4
ANVISA - Funcionamento de Empresa Nacional,A,4
AORN Journal **,A,4
"AOS-Amazonia, Organizacoes e Sustentabilidade **",A,4
AP Deutsch,A,4
AP Dutch Worldstream,A,4
AP French Worldstream (French Language),A,4
AP Planner,A,4
AP Spanish Online,A,4
APA Economic News Service (English language),A,4
APA Finance Briefing (German language),A,4
APA News Service,A,4
APA News Service (English language),A,4
APA-Finance Briefing,A,4
APA-OTS (German language),A,4
APACHE,A,4
APCBEE Procedia **,A,4
APCOM General News,A,5
APCOM Political News,A,5
APICORP News & Press Releases,A,5
APN Australian Newspapers,A,5
APUNTES - Journal of Cultural Heritage Studies **,A,5
AR (Absolute Return + Alpha),A,5
AR - AAJ Class Action Law Reporter,A,5
AR - AAJ Law Reporter,A,5
AR - AAJ Motor Vehicle Law Reporter,A,5
AR - AAJ Products Liability Law Reporter,A,5
AR - AAJ Professional Negligence Law Reporter,A,5
AR - AAJ Trial,A,5
AR - AAJ TrialNews,A,5
AR - Arkansas Administrative Code,A,5
AR - Arkansas Advance Legislative Service,A,5
AR - Arkansas Code Annotated,A,5
AR - Arkansas Code Annotated - Index,A,5
AR - Arkansas Constitution,A,5
AR - Arkansas Government Register,A,5
AR - Arkansas Insurance Bulletins & Notices,A,5
AR - Arkansas State & Federal Court Rules,A,5
AR - Dolan Media Verdicts and Settlements,A,5
AR - Federal Jury Verdict Reporter,A,5
AR - LexisNexis Jury Verdicts and Settlements,A,5
AR - What's It Worth? A Guide to Personal Injury Awards and Settlements,A,5
AR Attorney General Opinions,A,5
AR Bill Tracking Reports,A,5
AR Briefs,A,5
AR Circuit Courts - Trial Orders,A,5
AR Court of Appeals Cases from 1979,A,5
AR Department of Finance Regulations,A,5
"AR Division of Securities; Decisions, Releases and Letters",A,5
AR Environmental Administrative Decisions,A,5
AR Full-Text Bills,A,5
AR Motions,A,5
AR Pleadings,A,5
AR Public Service Commission Decisions,A,5
AR State Net Regulatory Text,A,5
AR State Regulation Tracking,A,5
AR State Trademarks,A,5
AR State Voting Records,A,5
AR Supreme Court Cases from 1837,A,5
AR Workers' Compensation Decisions,A,5
AR-ALM Verdicts,A,5
AR-Expert Witness Verdicts and Settlements,A,5
ARABIA 2000,A,5
ARC Briefing Algeria,A,5
ARC Briefing Angola,A,5
ARC Briefing Botswana,A,5
ARC Briefing Cote d'Ivoire,A,5
ARC Briefing DRC,A,5
ARC Briefing Egypt,A,5
ARC Briefing Ethiopia,A,5
ARC Briefing Gabon,A,5
ARC Briefing Ghana,A,5
ARC Briefing Guinea,A,5
ARC Briefing Kenya,A,5
ARC Briefing Madagascar,A,5
ARC Briefing Mauritius,A,5
ARC Briefing Monthly Chronology,A,5
ARC Briefing Morocco,A,5
ARC Briefing Mozambique,A,5
ARC Briefing Namibia,A,5
ARC Briefing Nigeria,A,5
ARC Briefing Senegal,A,5
ARC Briefing South Africa,A,5
ARC Briefing Summaries,A,5
ARC Briefing Tanzania,A,5
ARC Briefing Uganda,A,5
ARC Briefing Zambia,A,5
ARC Briefing Zimbabwe,A,5
ARC Weekly Briefing Chronology,A,5
ARCHITECTURE + INTERIORS (A+i),A,5
"ARD Transkripte (Germany, German Language)",A,5
ARGANAVISION,A,5
ARKA - Bulletins (Armenia),A,5
ARKA - News (Armenia),A,5
ARMINFO News Agency,A,5
ARMINFO: Mining,A,5
ARMY Administrative Series 530 Operations and Si Publications,A,5
ARMY Doctrine And Training Series 57 Airborne Publications,A,5
ARN,A,5
ARN (Australian Reseller News),A,5
ASAPII Database **,A,5
ASAPII Database - Arab Press Service Group **,A,5
ASEAN Tech & Sec,A,5
ASEAN Tribune,A,5
ASEE Prism **,A,5
ASIL Newsletter,A,5
ASSOCHAM Bulletin,A,5
ASSOCHAM Studies and Surveys,A,5
ASX ComNews (Text version of ASX Company Announcements),A,5
ATLaw,A,5
ATM Marketplace,A,5
ATM and Debit News,A,5
ATS - Agence Telegraphique Suisse,A,5
ATS - Agenzia Telegrafica Svizzera,A,5
ATV Rider,A,5
AUTO BILD,A,5
AUTOHAUS,A,5
AUTOHAUS Online,A,6
AUTOMOBIL-ELEKTRONIK,A,6
AUTOSERVICE PRAXIS,A,6
AUTOSERVICE PRAXIS Online,A,6
AV (AudioVisual) Magazine,A,6
AWP Company Portraits,A,6
AWP ESG News,A,6
AWP Financial Analysis,A,6
AWP International,A,6
AWP OTS (Original text service) - English,A,6
AWP OTS (Original text service) - French,A,6
AWP OTS (Original text service) - German,A,6
AWP Original Press Releases (French Language),A,6
AWP Premium Swiss News (French),A,6
AWP Premium Swiss News (German),A,6
AWP Premium Swiss News (Italian),A,6
AWP SME (Small and Medium Enterprises) - German,A,6
AWP SME (small and medium enterprises) - French,A,6
AZ - AAJ Class Action Law Reporter,A,6
AZ - AAJ Law Reporter,A,6
AZ - AAJ Motor Vehicle Law Reporter,A,6
AZ - AAJ Products Liability Law Reporter,A,6
AZ - AAJ Professional Negligence Law Reporter,A,6
AZ - AAJ Trial,A,6
AZ - AAJ TrialNews,A,6
AZ - Arizona Administrative Code,A,6
AZ - Arizona Advance Legislative Service,A,6
AZ - Arizona Annotated Revised Statutes,A,6
AZ - Arizona Annotated Revised Statutes - Index,A,6
AZ - Arizona Constitution,A,6
AZ - Arizona Insurance Bulletins & Notices,A,6
"AZ - Arizona Local, State & Federal Court Rules",A,6
AZ - Dolan Media Verdicts and Settlements,A,6
AZ - Federal Jury Verdict Reporter,A,6
AZ - LexisNexis Jury Verdicts and Settlements,A,6
AZ - What's It Worth? A Guide to Personal Injury Awards and Settlements,A,6
AZ Attorney General Opinions,A,6
AZ BAR Formal Ethics Opinions and UPL Advisory Opinions,A,6
AZ Bill Tracking Reports,A,6
AZ Board of Tax Appeals,A,6
AZ Briefs,A,6
AZ Corporation Commission - Securities Division Decisions,A,6
AZ Corporation Commission Utilities Division Decisions,A,6
AZ Court of Appeals Published Cases from 1965,A,6
AZ Court of Appeals Unpublished Cases,A,6
AZ Department of Environmental Quality Decisions,A,6
AZ Department of Revenue Rulings,A,6
AZ Full-Text Bills,A,6
AZ Legislator Profiles,A,6
AZ Motions,A,6
AZ Motions PDFs Only,A,6
AZ Other Court Documents PDFs Only,A,6
AZ Pleadings,A,6
AZ Pleadings PDFs Only,A,6
AZ State Net Regulatory Text,A,6
AZ State Regulation Tracking,A,6
AZ State Trademarks,A,6
AZ State Voting Records,A,6
AZ Superior Courts - Trial Orders,A,6
AZ Supreme Court - Unpublished Cases,A,6
AZ Supreme Court Published Cases from 1866,A,6
AZ Tax Court - Trial Orders,A,6
AZ-ALM Verdicts,A,6
AZ-Expert Witness Verdicts and Settlements,A,6
AZCentral | The Arizona Republic Online,A,6
Aachener Nachrichten,A,6
Aachener Zeitung,A,6
Aaj News Online (Pakistan),A,6
Aar Bote,A,6
Aargauer Zeitung,A,6
Abaca Press,A,6
Abacus (China),A,6
Abbeville Meridional (Louisiana),A,6
Abbotsford News,A,6
Abbotsford Times (British Columbia),A,6
Abendzeitung München (German Language),A,6
Aberdeen American News (South Dakota),A,6
Aberdeen Evening Express,A,6
Aberdeen Press and Journal,A,6
Abergavenny Chronicle,A,6
Abha Chamber of Commerce and Industry (Arabic),A,6
"Abilene Reflector-Chronicle, Kan.",A,6
Abilene Reporter News Online (Texas),A,6
Abilene Reporter-News (Texas),A,6
Abingdon Herald,A,6
About Fleet,A,6
About Pharma (Italian Language),A,6
AboutEnergy.com,A,6
AboutEnergy.com (Factiva),A,6
Above the Law,A,6
Absentee Shawnee Tribal Law,A,6
Absolute Return,A,6
Abstract and Applied Analysis **,A,6
Abu Dhabi Chamber News,A,6
Abu Dhabi Chamber News (Arabic),A,6
Academe **,A,6
Academia Economic Papers,A,6
Academic Pediatrics **,A,6
Academic Radiology **,A,6
Academy of Information and Management Sciences Journal **,A,6
"Acadia Parish Today (Crowley, Rayne, Louisiana)",A,7
Access Intelligence Inc Newsletters,A,7
Accident Analysis & Prevention **,A,7
Accommodation Times (Ht Media),A,7
Accord Fintech,A,7
Accord Fintech BSE,A,7
Accountancy News powered by Timetric,A,7
Accountant,A,7
Accounting & Financial Planning for Law Firms,A,7
Accounting Emerging Issues,A,7
Accounting Forum **,A,7
Accounting Technology (1996-2009),A,7
Accounting Today,A,7
Accounting for  Government Contracts - Cost Accounting Standards - Index,A,7
Accounting for Banks,A,7
Accounting for Government Contracts - Cost Accounting Standards,A,7
Accounting for Government Contracts: Federal Acquisition Regulation,A,7
Accounting for Government Contracts: Federal Acquisition Regulation - Index,A,7
Accounting for Public Utilities,A,7
Accounting for Public Utilities - Index,A,7
"Accounting, Organizations & Society **",A,7
Accra Mail,A,7
Accuracy in Media,A,7
Acheter Malin,A,7
"Acordos de leniência CGU, divulgados pela Controladoria-Geral da União (CGU) / List of Leniency Agreements by Federal General Controlling Office",A,7
"Acordos de leniência MPF, divulgados pela 5ª câmara de Coordenação e Revisão (Combate à Corrupção) do Ministério Público Federal/ List of Leniency Agreements by General Attorney Office",A,7
Acoustic Guitar **,A,7
Acquisdata Industry Reports,A,7
Acquisitions Daily,A,7
Acquisitions Under the Hart-Scott-Rodino Antitrust Improvements Act (LJP),A,7
Acta Académica **,A,7
Acta Agronomica **,A,7
Acta Astronautica **,A,7
Acta Bioethica **,A,7
Acta Biomaterialia **,A,7
Acta Botánica Mexicana **,A,7
Acta Colombiana de Psicologia **,A,7
Acta Histochemica **,A,7
Acta Literaria **,A,7
Acta Materialia **,A,7
Acta Médica Colombiana **,A,7
Acta Neurologica Belgica,A,7
Acta Neuropathologica Communications,A,7
Acta Oecologica **,A,7
Acta Parasitologica,A,7
Acta Paulista de Enfermagem **,A,7
Acta Pharmacologica Sinica,A,7
Acta Politica,A,7
Acta Psychologica **,A,7
Acta Scientiarum. Agronomy (UEM) **,A,7
Acta Scientiarum. Animal Sciences (UEM) **,A,7
Acta Scientiarum. Biological Sciences (UEM) **,A,7
Acta Scientiarum. Education (UEM) **,A,7
Acta Scientiarum. Health Sciences (UEM) **,A,7
Acta Scientiarum. Human and Social Sciences (UEM) **,A,7
Acta Scientiarum. Language and Culture (UEM) **,A,7
Acta Scientiarum. Technology (UEM) **,A,7
